# "Top 500 'Greatest' Novels (1021-2015)" [https://www.responsible-datasets-in-context.com/posts/top-500-novels/top-500-novels.html] by "Responsible Datasets in Context" [https://www.responsible-datasets-in-context.com/team.html], used under CC BY 4.0 [http://creativecommons.org/licenses/by/4.0/] / Some columns deleted
top_500_rank,title,author,pub_year,orig_lang,genre,author_field_of_activity,author_occupation,wiki_url,pg_eng_url
29,To Kill a Mockingbird,Harper Lee,1960,English,na,"novels,fiction",novelists,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird,NA_not-pub-domain
30,The Wizard of Oz,L. Frank Baum,1900,English,fantasy,,,https://en.wikipedia.org/wiki/The_Wonderful_Wizard_of_Oz,https://www.gutenberg.org/cache/epub/55/pg55.txt
31,Les Misérables,Victor Hugo,1862,French,na,,authors french,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables,https://www.gutenberg.org/cache/epub/135/pg135.txt
32,The Secret Garden,Frances Hodgson Burnett,1911,English,na,,"novelists,authors",https://en.wikipedia.org/wiki/The_Secret_Garden,https://www.gutenberg.org/cache/epub/17396/pg17396.txt
33,Animal Farm,George Orwell,1945,English,political,fiction,"novelists,authors",https://en.wikipedia.org/wiki/Animal_Farm,NA_not-pub-domain
34,The Great Gatsby,F. Scott Fitzgerald,1925,English,na,"fiction,short stories,novels","novelists,authors",https://en.wikipedia.org/wiki/The_Great_Gatsby,https://www.gutenberg.org/cache/epub/64317/pg64317.txt
35,The Little Prince,Antoine de Saint-Exupéry,1943,English,na,"fiction,essays,childrens literature,autobiography","novelists,essayists,air pilots",https://en.wikipedia.org/wiki/The_Little_Prince,NA_not-pub-domain
36,The Call of the Wild,Jack London,1903,English,action,,"novelists american,authors american",https://en.wikipedia.org/wiki/The_Call_of_the_Wild,https://www.gutenberg.org/cache/epub/215/pg215.txt
37,"20,000 Leagues Under the Sea",Jules Verne,1870,French,scifi,"drama,voyages imaginary,science fiction,poetry,novels,action and adventure fiction","poets,novelists,authors french,playwrights",https://en.wikipedia.org/wiki/Twenty_Thousand_Leagues_Under_the_Seas,https://www.gutenberg.org/cache/epub/164/pg164.txt
38,Anna Karenina,Leo Tolstoy,1878,Russian,romance,"philosophy and religion,literature","authors,writers",https://en.wikipedia.org/wiki/Anna_Karenina,https://www.gutenberg.org/cache/epub/1399/pg1399.txt
39,The Wind in the Willows,Kenneth Grahame,1908,English,fantasy,childrens literature,author,https://en.wikipedia.org/wiki/The_Wind_in_the_Willows,https://www.gutenberg.org/cache/epub/289/pg289.txt
40,The Picture of Dorian Gray,Oscar Wilde,1890,English,na,literature,"poets,novelists,dramatists,critics",https://en.wikipedia.org/wiki/The_Picture_of_Dorian_Gray,https://www.gutenberg.org/cache/epub/174/pg174.txt
41,The Grapes of Wrath,John Steinbeck,1939,English,na,literature,authors,https://en.wikipedia.org/wiki/The_Grapes_of_Wrath,https://www.gutenberg.org/cache/epub/46787/pg46787.txt
42,Sense and Sensibility,Jane Austen,1811,English,romance,"fiction,novels","novelists,authors",https://en.wikipedia.org/wiki/Sense_and_Sensibility,https://www.gutenberg.org/cache/epub/161/pg161.txt
43,The Last of the Mohicans,James Fenimore Cooper,1826,English,history,,author,https://en.wikipedia.org/wiki/The_Last_of_the_Mohicans,https://www.gutenberg.org/cache/epub/940/pg940.txt
44,Tess of the d'Urbervilles,Thomas Hardy,1891,English,na,english literature,writers,https://en.wikipedia.org/wiki/Tess_of_the_d%27Urbervilles,https://www.gutenberg.org/cache/epub/110/pg110.txt
45,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,English,fantasy,"young adult fiction,young adult fantasy,fantasy fiction,fantasy,novels","novelists,authors,writers",https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher%27s_Stone,NA_not-pub-domain
46,Heidi,Johanna Spyri,1880,English,na,,novelists,https://en.wikipedia.org/wiki/Heidi,https://www.gutenberg.org/cache/epub/20781/pg20781.txt
47,Ulysses,James Joyce,1922,English,na,"short stories,novels",novelists,https://en.wikipedia.org/wiki/Ulysses_(novel),https://www.gutenberg.org/cache/epub/4300/pg4300.txt
48,The Complete Sherlock Holmes,Arthur Conan Doyle,1930,English,mystery,"spiritualism,medicine,literature","spiritualists,physicians,authors english",https://en.wikipedia.org/wiki/A_Study_in_Scarlet,https://www.gutenberg.org/cache/epub/244/pg244.txt
49,The Count of Monte Cristo,Alexandre Dumas,1846,French,history,,"author,novelist,dramatist,novelists,dramatists,authors",https://en.wikipedia.org/wiki/The_Count_of_Monte_Cristo,https://www.gutenberg.org/cache/epub/1184/pg1184.txt
50,The Old Man and the Sea,Ernest Hemingway,1952,English,allegories,"short stories,novels,journalism,fiction","novelists,journalists",https://en.wikipedia.org/wiki/The_Old_Man_and_the_Sea,NA_not-pub-domain
51,"The Lion, the Witch, and the Wardrobe",C.S. Lewis,1950,English,fantasy,"science fiction,novels,fiction,childrens literature","scholars,broadcasters,authors","https://en.wikipedia.org/wiki/The_Lion,_the_Witch_and_the_Wardrobe",NA_not-pub-domain
52,The Hunchback of Notre Dame,Victor Hugo,1831,French,history,,authors french,https://en.wikipedia.org/wiki/The_Hunchback_of_Notre-Dame,https://www.gutenberg.org/cache/epub/2610/pg2610.txt
53,Pinocchio,Carlo Collodi,1883,Italian,na,,,https://en.wikipedia.org/wiki/The_Adventures_of_Pinocchio,https://www.gutenberg.org/cache/epub/500/pg500.txt
54,One Hundred Years of Solitude,Gabriel García Márquez,1967,Spanish,na,"magic realist fiction,magic realism literature,journalism,screenplays","novelists,journalists,authors",https://en.wikipedia.org/wiki/One_Hundred_Years_of_Solitude,NA_not-pub-domain
55,Ivanhoe,Walter Scott,1819,English,history,,"poet,novelist,historian,biographer",https://en.wikipedia.org/wiki/Ivanhoe,https://www.gutenberg.org/cache/epub/82/pg82.txt
